username,date,hms,post_num,num_likes
Michael81,"Jan 11, 2019",12:59 AM,9608106,10.0
mcobinad,"Jan 11, 2019",1:22 AM,9608113,35.0
hoodog,"Jan 11, 2019",1:31 AM,9608119,9.0
Alan Bee,"Jan 11, 2019",1:32 AM,9608120,
upr_crust,"Jan 11, 2019",4:43 AM,9608199,28.0
Thrift Vader,"Jan 11, 2019",4:49 AM,9608206,
Michael81,"Jan 11, 2019",5:00 AM,9608209,
Luigi_M,"Jan 11, 2019",5:13 AM,9608219,
Ebichuman,"Jan 11, 2019",5:15 AM,9608222,
Caustic Man,"Jan 11, 2019",5:45 AM,9608257,7.0
aj805,"Jan 11, 2019",5:50 AM,9608263,
Mr Knightley,"Jan 11, 2019",6:16 AM,9608284,19.0
Roy Al,"Jan 11, 2019",6:35 AM,9608305,21.0
themanfromLisbon,"Jan 11, 2019",7:38 AM,9608375,
themanfromLisbon,"Jan 11, 2019",7:42 AM,9608384,
themanfromLisbon,"Jan 11, 2019",7:49 AM,9608393,11.0
DavidLane,"Jan 11, 2019",7:54 AM,9608397,
thejoker,"Jan 11, 2019",7:56 AM,9608403,
colHolm,"Jan 11, 2019",8:05 AM,9608415,36.0
sometimesipostmyclothes,"Jan 11, 2019",8:07 AM,9608418,
1st Step,"Jan 11, 2019",8:40 AM,9608455,
shirtsnob,"Jan 11, 2019",8:42 AM,9608457,
1st Step,"Jan 11, 2019",8:45 AM,9608461,
Thin White Duke,"Jan 11, 2019",8:51 AM,9608475,
1st Step,"Jan 11, 2019",8:51 AM,9608476,
Roy Al,"Jan 11, 2019",8:53 AM,9608481,
sometimesipostmyclothes,"Jan 11, 2019",8:56 AM,9608490,
Caustic Man,"Jan 11, 2019",9:19 AM,9608536,6.0
sometimesipostmyclothes,"Jan 11, 2019",9:22 AM,9608544,
colHolm,"Jan 11, 2019",9:23 AM,9608545,
Alan Bee,"Jan 11, 2019",9:33 AM,9608564,
Caustic Man,"Jan 11, 2019",9:35 AM,9608574,
eddiemczee,"Jan 11, 2019",9:36 AM,9608577,19.0
Clouseau,"Jan 11, 2019",9:44 AM,9608601,
jcmeyer,"Jan 11, 2019",10:20 AM,9608666,
Caustic Man,"Jan 11, 2019",10:23 AM,9608671,
chocsosa,"Jan 11, 2019",10:28 AM,9608680,33.0
themanfromLisbon,"Jan 11, 2019",11:15 AM,9608764,
Claghorn,"Jan 11, 2019",11:21 AM,9608773,31.0
vriche,"Jan 11, 2019",12:45 PM,9608931,
Roycru,"Jan 11, 2019",2:28 PM,9609072,19.0
DiplomaticTies,"Jan 11, 2019",2:55 PM,9609113,
Hal Freeman,"Jan 11, 2019",3:40 PM,9609183,12.0
upr_crust,"Jan 11, 2019",5:15 PM,9609302,6.0
upr_crust,"Jan 11, 2019",5:21 PM,9609314,
mcobinad,"Jan 11, 2019",5:39 PM,9609340,
mcobinad,"Jan 11, 2019",5:44 PM,9609347,
An Acute Style,"Jan 11, 2019",5:47 PM,9609351,
1st Step,"Jan 11, 2019",5:49 PM,9609356,
Alan Bee,"Jan 11, 2019",7:11 PM,9609449,6.0
1st Step,"Jan 11, 2019",8:48 PM,9609524,
am55,"Jan 11, 2019",8:49 PM,9609525,
Alan Bee,"Jan 11, 2019",10:33 PM,9609574,
Alan Bee,"Jan 11, 2019",10:35 PM,9609577,
am55,"Jan 12, 2019",12:25 AM,9609612,
EFV,"Jan 12, 2019",8:36 AM,9609889,41.0
Mr Knightley,"Jan 12, 2019",8:39 AM,9609893,
themanfromLisbon,"Jan 12, 2019",9:04 AM,9609925,
DiplomaticTies,"Jan 12, 2019",9:09 AM,9609927,
DiplomaticTies,"Jan 12, 2019",9:14 AM,9609931,30.0
1st Step,"Jan 12, 2019",9:40 AM,9609967,
DiplomaticTies,"Jan 12, 2019",10:01 AM,9609999,
chocsosa,"Jan 12, 2019",10:05 AM,9610003,
Roy Al,"Jan 12, 2019",10:09 AM,9610006,13.0
DiplomaticTies,"Jan 12, 2019",10:17 AM,9610014,
jcmeyer,"Jan 12, 2019",4:09 PM,9610441,47.0
Blake Stitched Blues,"Jan 12, 2019",4:26 PM,9610464,
gavrarabba,"Jan 12, 2019",4:28 PM,9610465,15.0
jcmeyer,"Jan 12, 2019",4:44 PM,9610481,10.0
SplurgeFrugal,"Jan 12, 2019",9:26 PM,9610699,6.0
Hal Freeman,"Jan 12, 2019",10:15 PM,9610713,
Alocin,"Jan 12, 2019",10:58 PM,9610722,18.0
am55,"Jan 12, 2019",11:31 PM,9610735,
dalevy,"Jan 13, 2019",12:10 AM,9610748,14.0
JJ Katz,"Jan 13, 2019",2:45 AM,9610780,
Blake Stitched Blues,"Jan 13, 2019",3:08 AM,9610784,
DiplomaticTies,"Jan 13, 2019",4:10 AM,9610800,
am55,"Jan 13, 2019",4:23 AM,9610805,
twistoffat,"Jan 13, 2019",4:36 AM,9610807,
DiplomaticTies,"Jan 13, 2019",5:41 AM,9610830,5.0
themanfromLisbon,"Jan 13, 2019",5:49 AM,9610836,13.0
Alan Bee,"Jan 13, 2019",5:56 AM,9610838,
Alan Bee,"Jan 13, 2019",5:59 AM,9610840,
themanfromLisbon,"Jan 13, 2019",6:57 AM,9610878,
sugarbutch,"Jan 13, 2019",7:15 AM,9610899,
Alocin,"Jan 13, 2019",9:22 AM,9611015,
mreams99,"Jan 13, 2019",10:04 AM,9611056,7.0
An Acute Style,"Jan 13, 2019",10:33 AM,9611090,
Thin White Duke,"Jan 13, 2019",11:27 AM,9611155,7.0
mreams99,"Jan 13, 2019",11:35 AM,9611164,
1st Step,"Jan 13, 2019",3:30 PM,9611398,
1st Step,"Jan 13, 2019",3:36 PM,9611404,
am55,"Jan 13, 2019",4:03 PM,9611433,
am55,"Jan 13, 2019",4:13 PM,9611442,
Epicure,"Jan 13, 2019",5:00 PM,9611483,
Chaconne,"Jan 13, 2019",9:06 PM,9611719,
Luigi_M,"Jan 14, 2019",12:01 AM,9611793,
Riva,"Jan 14, 2019",1:17 AM,9611812,
Purplelabel,"Jan 14, 2019",2:41 AM,9611837,
