username,date,hms,post_num,num_likes
FlyingMonkey,"Jan 11, 2019",6:18 AM,9608287,5.0
Newcomer,"Jan 11, 2019",6:56 AM,9608332,45.0
OccultaVexillum,"Jan 11, 2019",7:34 AM,9608369,
RegisDB9,"Jan 11, 2019",8:28 AM,9608437,
nahneun,"Jan 11, 2019",8:36 AM,9608450,
RegisDB9,"Jan 11, 2019",9:24 AM,9608548,
Alexidb,"Jan 11, 2019",9:34 AM,9608569,
Cotton Dockers,"Jan 11, 2019",9:58 AM,9608628,34.0
shopcanoeclub,"Jan 11, 2019",10:05 AM,9608644,11.0
Reiiii,"Jan 11, 2019",10:13 AM,9608657,36.0
baltimoron,"Jan 11, 2019",10:35 AM,9608691,
Newcomer,"Jan 11, 2019",10:44 AM,9608705,
RegisDB9,"Jan 11, 2019",10:55 AM,9608733,
shopcanoeclub,"Jan 11, 2019",10:56 AM,9608736,
ghdvfddzgzdzg,"Jan 11, 2019",12:29 PM,9608907,42.0
Newcomer,"Jan 11, 2019",12:29 PM,9608910,
FlyingMonkey,"Jan 11, 2019",12:31 PM,9608912,
beepbop,"Jan 11, 2019",1:17 PM,9608975,27.0
gettoasty,"Jan 11, 2019",1:44 PM,9609011,
dazedstate,"Jan 11, 2019",2:03 PM,9609032,13.0
FrankCowperwood,"Jan 11, 2019",2:16 PM,9609048,
dazedstate,"Jan 11, 2019",2:19 PM,9609054,
MGoCrimson,"Jan 11, 2019",2:20 PM,9609057,54.0
Benesyed,"Jan 11, 2019",2:22 PM,9609066,
verver,"Jan 11, 2019",2:23 PM,9609068,
faue,"Jan 11, 2019",2:24 PM,9609070,
MGoCrimson,"Jan 11, 2019",2:32 PM,9609078,
Benesyed,"Jan 11, 2019",3:49 PM,9609199,
RegisDB9,"Jan 11, 2019",3:59 PM,9609210,
verver,"Jan 11, 2019",4:07 PM,9609222,8.0
Benesyed,"Jan 11, 2019",4:13 PM,9609226,
verver,"Jan 11, 2019",4:24 PM,9609237,
hendrix,"Jan 11, 2019",5:04 PM,9609286,
SimModa,"Jan 11, 2019",5:06 PM,9609290,
jet,"Jan 11, 2019",5:14 PM,9609300,
Benesyed,"Jan 11, 2019",5:53 PM,9609360,
beepbop,"Jan 11, 2019",7:57 PM,9609496,
Benesyed,"Jan 11, 2019",8:41 PM,9609517,11.0
FrankCowperwood,"Jan 11, 2019",8:43 PM,9609518,
beepbop,"Jan 11, 2019",8:44 PM,9609519,
Alexidb,"Jan 12, 2019",8:54 AM,9609912,
FrankCowperwood,"Jan 12, 2019",9:17 AM,9609940,
Superb0bo,"Jan 12, 2019",9:24 AM,9609945,
Alexidb,"Jan 12, 2019",9:32 AM,9609955,
Fredrik E. Nilsen,"Jan 12, 2019",3:55 PM,9610423,8.0
shopcanoeclub,"Jan 12, 2019",4:47 PM,9610485,25.0
g transistor,"Jan 12, 2019",7:47 PM,9610649,20.0
faue,"Jan 13, 2019",10:22 AM,9611078,23.0
Newcomer,"Jan 13, 2019",12:27 PM,9611236,46.0
MaiLam,"Jan 13, 2019",12:30 PM,9611239,
RegisDB9,"Jan 13, 2019",7:55 PM,9611644,
Homme,"Jan 14, 2019",4:18 AM,9611898,27.0
Benesyed,"Jan 14, 2019",6:20 AM,9611989,
Newcomer,"Jan 14, 2019",8:17 AM,9612095,
nahneun,"Jan 14, 2019",8:25 AM,9612108,6.0
Benesyed,"Jan 14, 2019",8:29 AM,9612116,
Benesyed,"Jan 14, 2019",8:30 AM,9612121,
nahneun,"Jan 14, 2019",8:47 AM,9612147,
Benesyed,"Jan 14, 2019",8:55 AM,9612160,
cyc wid it,"Jan 14, 2019",9:16 AM,9612193,21.0
e0d9n0b5,"Jan 14, 2019",9:59 AM,9612263,10.0
KamoteJoe,"Jan 14, 2019",10:21 AM,9612304,37.0
colabear,"Jan 14, 2019",11:48 AM,9612446,
#dadcore,"Jan 14, 2019",12:13 PM,9612492,50.0
faue,"Jan 14, 2019",12:26 PM,9612504,
Baron,"Jan 14, 2019",12:41 PM,9612530,
#dadcore,"Jan 14, 2019",12:59 PM,9612558,
